Mountain Name,Elevation,Prominence,Isolation,Number of ascents,Latitude,Longitude,Distance,Elevation Change,Elevation Start,Elev per mile
North Maroon Peak,14014,214,0.4,236,39.0760069,-106.9870778,8,4560,9454,1140
Mount of the Holy Cross,14005,2111,18.4,488,39.466746,-106.481638,11.7,5531,8474,945.4700855
Huron Peak,14003,1403,3.2,596,38.9454592,-106.437998,6.6,3418,10585,1035.757576
Sunshine Peak,14001,481,1.3,430,37.9228021,-107.42535,6.5,4547,9454,1399.076923
South Bross Peak,14000,40,0.3,79,39.326905,-106.110324,8.8,3539,10461,804.3181818
Nevado de Colima,13976,8858,251.8,30,19.5633402,-103.6082917,6.9,2194,11782,635.942029
Aiguille du Paquoir,13976,66,0.1,44,36.5708146,-118.2914083,23.4,7456,6520,637.2649573
Columbia Point,13960,320,0.2,95,37.9788886,-105.5980644,12.3,6289,7671,1022.601626
Mount Everest,29024.72,8849,Infinite,68,27.9882228,86.9250873,11,11430,17600,2078.181818
Mount Everest - South Summit,28696.72,11,0.1,10,27.9882228,86.9250873,10.4,11096.72,17600,2133.984615
K2,28253.92,4020,1315.6,16,35.8818694,76.513741,14,11357.92,16896,1622.56
Kangchenjunga,28162.08,3922,124.2,14,27.701126,88.1483381,20.6,11233,16929,1090.582524
Lhotse,27932.48,610,2.4,9,27.8602077,86.8060351,9,12140,15792,2697.777778
Yalung Kang,27896.4,135,1.1,2,27.7052,88.1367,11.2,11155,15420,1991.964286
Makalu,27830.8,2378,17.2,11,27.8914385,87.0884403,10.6,12960,15750,2445.283019
Kangchenjunga Central,27791.44,33,0.6,1,27.701126,87.0884403,21.8,11811,17060,1083.577982
Lhotse - Middle Summit,27584.8,60,0.3,1,27.8602077,87.0884403,4.4,5905,16400,2684.090909
Lhotse Shar,27506.08,86,0.6,1,27.9586484,86.9437308,5.6,6890,16400,2460.714286
Cho Oyu,26856.64,2344,27.7,21,28.0967465,86.659634,10,8891,16400,1778.2
Dhaulagiri,26787.76,3357,317.4,10,28.6976088,83.4894884,15,12106,15420,1614.133333
Manaslu,26774.64,3092,105.5,16,28.5497,84.5597,12.4,12516,15750,2018.709677
Nanga Parbat,26650,4608,187.8,8,35.2384621,74.5895446,20,15091,13780,1509.1
Annapurna,26538.48,2984,33.7,8,28.433657,83.80225222,12.4,12844,13694.48,2071.612903
Gasherbrum I,26502.4,2155,23.5,10,35.7246797,76.697623,10,12467,14035.4,2493.4
Broad Peak,26407.28,1701,8.4,18,35.8142697,76.5661116,10.6,12467,13940.28,2352.264151
Gasherbrum II,26354.8,1524,5.3,15,35.7577323,76.6532687,8,11482,14872.8,2870.5
Shishapangma,26328.56,2906,90.8,10,28.3553668,85.7782824,16.2,9803,16525.56,1210.246914
Shishapangma Central,26266.24,108,0.3,1,28.3553668,85.7782824,15,9203,17063.24,1227.066667
Manaslu East,26213.76,92,0.4,0,28.5546148,84.5623791,10.6,8704,17509.76,1642.264151
Gyachung Kang,26082.56,672,7.6,2,28.0980314,86.7448435,6.8,8694,17388.56,2557.058824
Gasherbrum III,26082.56,461,0.9,6,35.759734,76.6419462,6.8,9646,16436.56,2837.058824
Annapurna II,26033.36,2437,29.1,1,28.5349707,84.1218222,15,12457,13576.36,1660.933333
Gasherbrum IV,25994,718,2.4,5,35.7616816,76.6163553,7.4,10498,15496,2837.297297
Nuptse,25793.92,319,3.5,3,27.8602077,86.8060351,4.4,8714,17079.92,3960.909091
Masherbrum,25652.88,2457,30.3,3,35.6433789,76.3080963,8,9514,16138.88,2378.5
Nanda Devi,25636.48,3139,388,4,30.3760768,79.9701154,16.2,10170,15466.48,1255.555556
Rakaposhi,25544.64,2818,40.9,2,36.1423242,74.4881554,12.4,9480,16064.64,1529.032258
Kanjut Sar,25452.8,1660,18.8,2,36.2051699,75.4161,11.2,9186,16266.8,1640.357143
Kamet,25439.68,2825,70.3,6,-1.79102825,129.644853,16.2,9383,16056.68,1158.395062
Dhaulagiri II,25423.28,2391,11.6,2,28.7631589,83.3873786,8,5900,19523.28,1475
Saltoro Kangri,25393.76,2160,38.1,2,35.3995612,76.8473288,10,8200,17193.76,1640
Gurla Mandhata,25236.32,2788,127.5,2,30.4381185,81.2961069,17.4,9500,15736.32,1091.954023
Chogolisa,25141.2,1621,16.2,3,35.6129673,76.5739722,10.6,9514,15627.2,1795.09434
Chogolisa - Northeast Summit,25105.12,54,0.6,2,35.6129673,76.5739722,8.6,8858,16247.12,2060
Gongga Shan,24783.68,3642,660.6,2,29.5958507,101.8790571,74,9840,14943.68,265.9459459
Annapurna III,24780.4,703,13.5,1,28.5853509,83.9891091,12.4,10614,14166.4,1711.935484
Changtse,24773.84,497,2.4,2,28.024329,86.9151856,6.8,4430,20343.84,1302.941176
Muztagata,24750.88,2735,38.8,10,38.2761073,75.1158944,13,9537,15213.88,1467.230769
Kula Kangri,24724.64,1654,25.2,2,28.2273067,90.6152621,22.4,8858,15866.64,790.8928571
Pik Ismail Samani,24583.6,3402,278.6,4,38.9426906,72.0153504,15,9449,15134.6,1259.866667
Noshaq,24573.76,2024,18.9,4,36.4329674,71.830264,20,9843,14730.76,984.3
Pik Pobeda,24399.92,4146,558,4,43.2267348,27.9031597,8.6,11910,12489.92,2769.767442
